,year,state,month,number
3300,2010,Para,October,3843.0
3301,2011,Para,October,3141.0
3302,2012,Para,October,3714.0
3303,2013,Para,October,4921.0
3304,2014,Para,October,6448.0
3305,2015,Para,October,7781.0
3306,2016,Para,October,5281.0
3307,2017,Para,October,7628.0
3308,1998,Para,November,1861.0
3309,1999,Para,November,2682.0
3310,2000,Para,November,3366.0
3311,2001,Para,November,4938.0
3312,2002,Para,November,7996.0
3313,2003,Para,November,6195.0
3314,2004,Para,November,9842.0
3315,2005,Para,November,4968.0
3316,2006,Para,November,2883.0
3317,2007,Para,November,2890.0
3318,2008,Para,November,2403.0
3319,2009,Para,November,10012.0
3320,2010,Para,November,4417.0
3321,2011,Para,November,3043.0
3322,2012,Para,November,6156.0
3323,2013,Para,November,3688.0
3324,2014,Para,November,7767.0
3325,2015,Para,November,9643.0
3326,2016,Para,November,7879.0
3327,2017,Para,November,9079.0
3328,1998,Para,December,1008.0
3329,1999,Para,December,766.0
3330,2000,Para,December,1698.0
3331,2001,Para,December,2564.0
3332,2002,Para,December,3118.0
3333,2003,Para,December,4787.0
3334,2004,Para,December,5508.0
3335,2005,Para,December,1495.0
3336,2006,Para,December,1417.0
3337,2007,Para,December,689.0
3338,2008,Para,December,684.0
3339,2009,Para,December,2832.0
3340,2010,Para,December,1612.0
3341,2011,Para,December,3218.0
3342,2012,Para,December,1812.0
3344,2014,Para,December,4828.0
3345,2015,Para,December,6610.0
3346,2016,Para,December,3300.0
3825,1998,Pernambuco,January,0.0
3826,1999,Pernambuco,January,102.0
3827,2000,Pernambuco,January,3.0
3828,2001,Pernambuco,January,7.0
3829,2002,Pernambuco,January,10.0
3830,2003,Pernambuco,January,188.0
3831,2004,Pernambuco,January,29.0
3832,2005,Pernambuco,January,221.0
3833,2006,Pernambuco,January,148.0
3834,2007,Pernambuco,January,156.0
3835,2008,Pernambuco,January,170.0
3836,2009,Pernambuco,January,256.0
3837,2010,Pernambuco,January,47.0
3838,2011,Pernambuco,January,49.0
3839,2012,Pernambuco,January,146.0
3840,2013,Pernambuco,January,55.0
3841,2014,Pernambuco,January,99.0
3842,2015,Pernambuco,January,109.0
3843,2016,Pernambuco,January,24.0
3844,2017,Pernambuco,January,52.0
3845,1998,Pernambuco,February,0.0
3846,1999,Pernambuco,February,13.0
3847,2000,Pernambuco,February,4.0
3848,2001,Pernambuco,February,2.0
3849,2002,Pernambuco,February,19.0
3850,2003,Pernambuco,February,35.0
3851,2004,Pernambuco,February,8.0
3852,2005,Pernambuco,February,33.0
3853,2006,Pernambuco,February,41.0
3854,2007,Pernambuco,February,21.0
3855,2008,Pernambuco,February,48.0
3856,2009,Pernambuco,February,28.0
3857,2010,Pernambuco,February,33.0
3858,2011,Pernambuco,February,25.0
3859,2012,Pernambuco,February,64.0
3860,2013,Pernambuco,February,29.0
3861,2014,Pernambuco,February,25.0
3862,2015,Pernambuco,February,55.0
3863,2016,Pernambuco,February,19.0
3864,2017,Pernambuco,February,23.0
3865,1998,Pernambuco,March,0.0
3866,1999,Pernambuco,March,27.0
3867,2000,Pernambuco,March,14.0
3868,2001,Pernambuco,March,0.0
3869,2002,Pernambuco,March,24.0
3870,2003,Pernambuco,March,9.0
3871,2004,Pernambuco,March,6.0
3872,2005,Pernambuco,March,45.0
3873,2006,Pernambuco,March,18.0
3874,2007,Pernambuco,March,4.0
3875,2008,Pernambuco,March,32.0
3876,2009,Pernambuco,March,15.0
3877,2010,Pernambuco,March,59.0
3878,2011,Pernambuco,March,39.0
3879,2012,Pernambuco,March,44.0
3880,2013,Pernambuco,March,40.0
3881,2014,Pernambuco,March,36.0
3882,2015,Pernambuco,March,33.0
3883,2016,Pernambuco,March,4.0
3884,2017,Pernambuco,March,7.0
3885,1998,Pernambuco,April,0.0
3886,1999,Pernambuco,April,2.0
3887,2000,Pernambuco,April,1.0
3888,2001,Pernambuco,April,2.0
3889,2002,Pernambuco,April,5.0
3890,2003,Pernambuco,April,7.0
3891,2004,Pernambuco,April,5.0
3892,2005,Pernambuco,April,1.0
3893,2006,Pernambuco,April,2.0
3894,2007,Pernambuco,April,1.0
3895,2008,Pernambuco,April,5.0
3896,2009,Pernambuco,April,3.0
3897,2010,Pernambuco,April,2.0
3898,2011,Pernambuco,April,22.0
3899,2012,Pernambuco,April,46.0
3900,2013,Pernambuco,April,11.0
3901,2014,Pernambuco,April,10.0
3902,2015,Pernambuco,April,30.0
3903,2016,Pernambuco,April,8.0
3904,2017,Pernambuco,April,9.0
3905,1998,Pernambuco,May,0.0
3906,1999,Pernambuco,May,6.0
3907,2000,Pernambuco,May,7.0
3908,2001,Pernambuco,May,5.0
3909,2002,Pernambuco,May,13.0
3910,2003,Pernambuco,May,1.0
3911,2004,Pernambuco,May,2.0
3912,2005,Pernambuco,May,1.0
3913,2006,Pernambuco,May,1.0
3914,2007,Pernambuco,May,0.0
3915,2008,Pernambuco,May,0.0
3916,2009,Pernambuco,May,0.0
3917,2010,Pernambuco,May,8.0
3918,2011,Pernambuco,May,1.0
3919,2012,Pernambuco,May,36.0
3920,2013,Pernambuco,May,9.0
3921,2014,Pernambuco,May,4.0
3922,2015,Pernambuco,May,17.0
3923,2016,Pernambuco,May,6.0
3924,2017,Pernambuco,May,13.0
3925,1998,Pernambuco,June,1.0
3926,1999,Pernambuco,June,7.0
3927,2000,Pernambuco,June,4.0
3928,2001,Pernambuco,June,2.0
3929,2002,Pernambuco,June,1.0
3930,2003,Pernambuco,June,2.0
3931,2004,Pernambuco,June,4.0
3932,2005,Pernambuco,June,3.0
3933,2006,Pernambuco,June,0.0
3934,2007,Pernambuco,June,1.0
3935,2008,Pernambuco,June,0.0
3936,2009,Pernambuco,June,1.0
3937,2010,Pernambuco,June,1.0
3938,2011,Pernambuco,June,4.0
3939,2012,Pernambuco,June,12.0
3940,2013,Pernambuco,June,12.0
3941,2014,Pernambuco,June,3.0
3942,2015,Pernambuco,June,3.0
3943,2016,Pernambuco,June,4.0
3944,2017,Pernambuco,June,5.0
3945,1998,Pernambuco,July,5.0
3946,1999,Pernambuco,July,2.0
3947,2000,Pernambuco,July,0.0
3948,2001,Pernambuco,July,6.0
3949,2002,Pernambuco,July,8.0
3950,2003,Pernambuco,July,5.0
3951,2004,Pernambuco,July,13.0
3952,2005,Pernambuco,July,1.0
3953,2006,Pernambuco,July,1.0
3954,2007,Pernambuco,July,3.0
3955,2008,Pernambuco,July,0.0
3956,2009,Pernambuco,July,1.0
3957,2010,Pernambuco,July,7.0
3958,2011,Pernambuco,July,2.0
3959,2012,Pernambuco,July,11.0
3960,2013,Pernambuco,July,4.0
3961,2014,Pernambuco,July,11.0
3962,2015,Pernambuco,July,13.0
3963,2016,Pernambuco,July,17.0
3964,2017,Pernambuco,July,2.0
3965,1998,Pernambuco,August,12.0
3966,1999,Pernambuco,August,3.0
3967,2000,Pernambuco,August,31.0
3968,2001,Pernambuco,August,27.0
3969,2002,Pernambuco,August,37.0
3970,2003,Pernambuco,August,26.0
3971,2004,Pernambuco,August,41.0
3972,2005,Pernambuco,August,10.0
3973,2006,Pernambuco,August,8.0
3974,2007,Pernambuco,August,20.0
3975,2008,Pernambuco,August,2.0
3976,2009,Pernambuco,August,10.0
3977,2010,Pernambuco,August,29.0
3978,2011,Pernambuco,August,27.0
3979,2012,Pernambuco,August,27.0
3980,2013,Pernambuco,August,14.0
3981,2014,Pernambuco,August,23.0
3982,2015,Pernambuco,August,21.0
3983,2016,Pernambuco,August,42.0
3984,2017,Pernambuco,August,20.0
3985,1998,Pernambuco,September,177.0
3986,1999,Pernambuco,September,64.0
3987,2000,Pernambuco,September,130.0
3988,2001,Pernambuco,September,298.0
3989,2002,Pernambuco,September,374.0
3990,2003,Pernambuco,September,510.0
3991,2004,Pernambuco,September,192.0
3992,2005,Pernambuco,September,154.0
3993,2006,Pernambuco,September,147.0
3994,2007,Pernambuco,September,164.0
3995,2008,Pernambuco,September,92.0
3996,2009,Pernambuco,September,164.0
3997,2010,Pernambuco,September,179.0
3998,2011,Pernambuco,September,243.0
3999,2012,Pernambuco,September,192.0
4000,2013,Pernambuco,September,143.0
4001,2014,Pernambuco,September,63.0
4002,2015,Pernambuco,September,116.0
4003,2016,Pernambuco,September,171.0
4004,2017,Pernambuco,September,69.0
4005,1998,Pernambuco,October,372.0
4006,1999,Pernambuco,October,180.0
4007,2000,Pernambuco,October,411.0
4008,2001,Pernambuco,October,461.0
4009,2002,Pernambuco,October,638.0
4010,2003,Pernambuco,October,859.0
4011,2004,Pernambuco,October,545.0
4012,2005,Pernambuco,October,408.0
4013,2006,Pernambuco,October,310.0
4014,2007,Pernambuco,October,702.0
4015,2008,Pernambuco,October,274.0
4016,2009,Pernambuco,October,254.0
4017,2010,Pernambuco,October,347.0
4018,2011,Pernambuco,October,461.0
4019,2012,Pernambuco,October,222.0
4020,2013,Pernambuco,October,161.0
4021,2014,Pernambuco,October,174.0
4022,2015,Pernambuco,October,194.0
4023,2016,Pernambuco,October,319.0
4024,2017,Pernambuco,October,256.0
4025,1998,Pernambuco,November,141.0
4026,1999,Pernambuco,November,41.0
4027,2000,Pernambuco,November,64.0
4028,2001,Pernambuco,November,208.0
4029,2002,Pernambuco,November,521.0
4030,2003,Pernambuco,November,560.0
4031,2004,Pernambuco,November,465.0
4032,2005,Pernambuco,November,452.0
4033,2006,Pernambuco,November,385.0
4034,2007,Pernambuco,November,359.0
4035,2008,Pernambuco,November,363.0
4036,2009,Pernambuco,November,486.0
4037,2010,Pernambuco,November,831.0
4038,2011,Pernambuco,November,352.0
4039,2012,Pernambuco,November,181.0
4040,2013,Pernambuco,November,110.0
4041,2014,Pernambuco,November,111.0
4042,2015,Pernambuco,November,315.0
4043,2016,Pernambuco,November,191.0
4044,2017,Pernambuco,November,66.0
4045,1998,Pernambuco,December,59.0
4046,1999,Pernambuco,December,16.0
4047,2000,Pernambuco,December,22.0
4048,2001,Pernambuco,December,62.0
4049,2002,Pernambuco,December,259.0
4050,2003,Pernambuco,December,229.0
4051,2004,Pernambuco,December,373.0
4052,2005,Pernambuco,December,191.0
4053,2006,Pernambuco,December,207.0
4054,2007,Pernambuco,December,200.0
4055,2008,Pernambuco,December,203.0
4056,2009,Pernambuco,December,351.0
4057,2010,Pernambuco,December,117.0
4058,2011,Pernambuco,December,364.0
4059,2012,Pernambuco,December,108.0
4060,2013,Pernambuco,December,141.0
4061,2014,Pernambuco,December,101.0
4062,2015,Pernambuco,December,176.0
4063,2016,Pernambuco,December,161.0
4064,1998,Piau,January,0.0
4065,1999,Piau,January,21.0
4066,2000,Piau,January,5.0
4067,2001,Piau,January,29.0
4068,2002,Piau,January,33.0
4069,2003,Piau,January,86.0
4070,2004,Piau,January,42.0
4071,2005,Piau,January,94.0
4072,2006,Piau,January,133.0
4073,2007,Piau,January,123.0
4074,2008,Piau,January,61.0
4075,2009,Piau,January,79.0
4076,2010,Piau,January,99.0
4077,2011,Piau,January,39.0
4078,2012,Piau,January,80.0
4079,2013,Piau,January,72.0
4080,2014,Piau,January,79.0
4081,2015,Piau,January,92.0
4082,2016,Piau,January,94.0
4083,2017,Piau,January,85.0
4084,1998,Piau,February,0.0
4085,1999,Piau,February,22.0
4086,2000,Piau,February,12.0
4087,2001,Piau,February,0.0
4088,2002,Piau,February,160.0
4089,2003,Piau,February,3.0
4090,2004,Piau,February,20.0
4091,2005,Piau,February,26.0
4092,2006,Piau,February,23.0
4093,2007,Piau,February,11.0
4094,2008,Piau,February,21.0
4095,2009,Piau,February,19.0
4096,2010,Piau,February,54.0
4097,2011,Piau,February,11.0
4098,2012,Piau,February,31.0
4099,2013,Piau,February,68.0
4100,2014,Piau,February,14.0
4101,2015,Piau,February,38.0
4102,2016,Piau,February,97.0
4103,2017,Piau,February,24.0
4104,1998,Piau,March,0.0
4105,1999,Piau,March,4.0
4106,2000,Piau,March,14.0
4107,2001,Piau,March,2.0
4108,2002,Piau,March,63.0
4109,2003,Piau,March,15.0
4110,2004,Piau,March,27.0
4111,2005,Piau,March,13.0
4112,2006,Piau,March,18.0
4113,2007,Piau,March,31.0
4114,2008,Piau,March,4.0
4115,2009,Piau,March,17.0
4116,2010,Piau,March,47.0
4117,2011,Piau,March,15.0
4118,2012,Piau,March,71.0
4119,2013,Piau,March,14.0
4120,2014,Piau,March,88.0
4121,2015,Piau,March,35.0
4122,2016,Piau,March,53.0
4123,2017,Piau,March,25.0
4124,1998,Piau,April,0.0
4125,1999,Piau,April,10.0
4126,2000,Piau,April,15.0
4127,2001,Piau,April,1.0
4128,2002,Piau,April,87.0
4129,2003,Piau,April,22.0
4130,2004,Piau,April,10.0
4131,2005,Piau,April,3.0
4132,2006,Piau,April,1.0
4133,2007,Piau,April,9.0
4134,2008,Piau,April,7.0
4135,2009,Piau,April,8.0
4136,2010,Piau,April,56.0
4137,2011,Piau,April,16.0
4138,2012,Piau,April,119.0
4139,2013,Piau,April,34.0
4140,2014,Piau,April,63.0
4141,2015,Piau,April,50.0
4142,2016,Piau,April,35.0
4143,2017,Piau,April,25.0
4144,1998,Piau,May,0.0
4145,1999,Piau,May,8.0
4146,2000,Piau,May,25.0
4147,2001,Piau,May,36.0
4148,2002,Piau,May,84.0
4149,2003,Piau,May,13.0
4150,2004,Piau,May,80.0
4151,2005,Piau,May,22.0
4152,2006,Piau,May,0.0
4153,2007,Piau,May,52.0
4154,2008,Piau,May,12.0
4155,2009,Piau,May,12.0
4156,2010,Piau,May,231.0
4157,2011,Piau,May,77.0
4158,2012,Piau,May,334.0
4159,2013,Piau,May,40.0
4160,2014,Piau,May,138.0
4161,2015,Piau,May,66.0
4162,2016,Piau,May,60.0
4163,2017,Piau,May,36.0
4164,1998,Piau,June,46.0
4165,1999,Piau,June,47.0
4166,2000,Piau,June,18.0
4167,2001,Piau,June,87.0
4168,2002,Piau,June,161.0
4169,2003,Piau,June,88.0
4170,2004,Piau,June,239.0
4171,2005,Piau,June,171.0
4172,2006,Piau,June,40.0
4173,2007,Piau,June,303.0
4174,2008,Piau,June,33.0
4175,2009,Piau,June,56.0
4176,2010,Piau,June,208.0
4177,2011,Piau,June,462.0
4178,2012,Piau,June,834.0
4179,2013,Piau,June,263.0
4180,2014,Piau,June,373.0
4181,2015,Piau,June,283.0
4182,2016,Piau,June,153.0
4183,2017,Piau,June,193.0
4184,1998,Piau,July,189.0
4185,1999,Piau,July,123.0
4186,2000,Piau,July,75.0
4187,2001,Piau,July,337.0
4188,2002,Piau,July,534.0
4189,2003,Piau,July,407.0
4190,2004,Piau,July,564.0
4191,2005,Piau,July,445.0
4192,2006,Piau,July,150.0
4193,2007,Piau,July,919.0
4194,2008,Piau,July,97.0
4195,2009,Piau,July,302.0
4196,2010,Piau,July,1696.0
4197,2011,Piau,July,864.0
4198,2012,Piau,July,1755.0
4199,2013,Piau,July,361.0
4200,2014,Piau,July,1177.0
4201,2015,Piau,July,690.0
4202,2016,Piau,July,754.0
4203,2017,Piau,July,643.0
4204,1998,Piau,August,711.0
4205,1999,Piau,August,499.0
4206,2000,Piau,August,415.0
4207,2001,Piau,August,1133.0
4208,2002,Piau,August,2280.0
4209,2003,Piau,August,864.0
4210,2004,Piau,August,1002.0
4211,2005,Piau,August,943.0
4212,2006,Piau,August,911.0
4213,2007,Piau,August,3551.0
4214,2008,Piau,August,290.0
4215,2009,Piau,August,790.0
4216,2010,Piau,August,4035.0
4217,2011,Piau,August,1958.0
4218,2012,Piau,August,3614.0
4219,2013,Piau,August,1015.0
4220,2014,Piau,August,2265.0
4221,2015,Piau,August,2057.0
4222,2016,Piau,August,1647.0
4223,2017,Piau,August,1572.0
4224,1998,Piau,September,1991.0
4225,1999,Piau,September,872.0
4226,2000,Piau,September,1099.0
4227,2001,Piau,September,2401.0
4228,2002,Piau,September,2475.0
4229,2003,Piau,September,3399.0
4230,2004,Piau,September,2662.0
4231,2005,Piau,September,3136.0
4232,2006,Piau,September,1618.0
4233,2007,Piau,September,4078.0
4234,2008,Piau,September,1472.0
4235,2009,Piau,September,1709.0
4236,2010,Piau,September,5392.0
4237,2011,Piau,September,4402.0
4238,2012,Piau,September,4479.0
4239,2013,Piau,September,2311.0
4240,2014,Piau,September,2536.0
4241,2015,Piau,September,5828.0
4242,2016,Piau,September,1394.0
4243,2017,Piau,September,3422.0
4244,1998,Piau,October,2586.0
4245,1999,Piau,October,1438.0
4246,2000,Piau,October,2558.0
4247,2001,Piau,October,3742.0
4248,2002,Piau,October,2757.0
4249,2003,Piau,October,2332.0
4250,2004,Piau,October,2144.0
4251,2005,Piau,October,3263.0
4252,2006,Piau,October,1443.0
4253,2007,Piau,October,2331.0
4254,2008,Piau,October,1830.0
4255,2009,Piau,October,913.0
4256,2010,Piau,October,3863.0
4257,2011,Piau,October,1484.0
4258,2012,Piau,October,2506.0
4259,2013,Piau,October,1269.0
4260,2014,Piau,October,1788.0
4261,2015,Piau,October,4068.0
4262,2016,Piau,October,2598.0
4263,2017,Piau,October,3004.0
4264,1998,Piau,November,424.0
4265,1999,Piau,November,334.0
4266,2000,Piau,November,450.0
4267,2001,Piau,November,1484.0
4268,2002,Piau,November,1174.0
4269,2003,Piau,November,1248.0
4270,2004,Piau,November,1798.0
4271,2005,Piau,November,1599.0
4272,2006,Piau,November,740.0
4273,2007,Piau,November,939.0
4274,2008,Piau,November,594.0
4275,2009,Piau,November,1336.0
4276,2010,Piau,November,1417.0
4277,2011,Piau,November,825.0
4278,2012,Piau,November,447.0
4279,2013,Piau,November,640.0
4280,2014,Piau,November,717.0
4281,2015,Piau,November,897.0
4282,2016,Piau,November,1126.0
4283,2017,Piau,November,449.0
4284,1998,Piau,December,119.0
4285,1999,Piau,December,74.0
4286,2000,Piau,December,79.0
4287,2001,Piau,December,230.0
4288,2002,Piau,December,373.0
4289,2003,Piau,December,459.0
4290,2004,Piau,December,788.0
4291,2005,Piau,December,486.0
4292,2006,Piau,December,339.0
4293,2007,Piau,December,317.0
4294,2008,Piau,December,329.0
4295,2009,Piau,December,570.0
4296,2010,Piau,December,357.0
4297,2011,Piau,December,362.0
4298,2012,Piau,December,334.0
4299,2013,Piau,December,468.0
4300,2014,Piau,December,346.0
4301,2015,Piau,December,626.0
4302,2016,Piau,December,374.0
5020,1998,Rondonia,January,0.0
5021,1999,Rondonia,January,1.0
5022,2000,Rondonia,January,0.0
5023,2001,Rondonia,January,0.0
5024,2002,Rondonia,January,6.0
5025,2003,Rondonia,January,62.0
5026,2004,Rondonia,January,30.0
5027,2005,Rondonia,January,99.0
5028,2006,Rondonia,January,16.0
5029,2007,Rondonia,January,33.0
5030,2008,Rondonia,January,4.0
5031,2009,Rondonia,January,17.0
5032,2010,Rondonia,January,18.0
5033,2011,Rondonia,January,1.0
5034,2012,Rondonia,January,2.0
5035,2013,Rondonia,January,7.0
5036,2014,Rondonia,January,12.0
5037,2015,Rondonia,January,30.0
5038,2016,Rondonia,January,93.0
5039,2017,Rondonia,January,44.0
5040,1998,Rondonia,February,0.0
5041,1999,Rondonia,February,1.0
5042,2000,Rondonia,February,6.0
5043,2001,Rondonia,February,2.0
5044,2002,Rondonia,February,8.0
5045,2003,Rondonia,February,10.0
5046,2004,Rondonia,February,12.0
5047,2005,Rondonia,February,42.0
5048,2006,Rondonia,February,17.0
5049,2007,Rondonia,February,8.0
5050,2008,Rondonia,February,7.0
5051,2009,Rondonia,February,1.0
5052,2010,Rondonia,February,9.0
5053,2011,Rondonia,February,2.0
5054,2012,Rondonia,February,9.0
5055,2013,Rondonia,February,8.0
5056,2014,Rondonia,February,5.0
5057,2015,Rondonia,February,22.0
5058,2016,Rondonia,February,88.0
5059,2017,Rondonia,February,10.0
5060,1998,Rondonia,March,0.0
5061,1999,Rondonia,March,8.0
5062,2000,Rondonia,March,9.0
5063,2001,Rondonia,March,0.0
5064,2002,Rondonia,March,1.0
5065,2003,Rondonia,March,13.0
5066,2004,Rondonia,March,20.0
5067,2005,Rondonia,March,17.0
5068,2006,Rondonia,March,15.0
5069,2007,Rondonia,March,20.0
5070,2008,Rondonia,March,2.0
5071,2009,Rondonia,March,12.0
5072,2010,Rondonia,March,11.0
5073,2011,Rondonia,March,6.0
5074,2012,Rondonia,March,6.0
5075,2013,Rondonia,March,23.0
5076,2014,Rondonia,March,13.0
5077,2015,Rondonia,March,15.0
5078,2016,Rondonia,March,25.0
5079,2017,Rondonia,March,21.0
5080,1998,Rondonia,April,0.0
5081,1999,Rondonia,April,3.0
5082,2000,Rondonia,April,0.0
5083,2001,Rondonia,April,0.0
5084,2002,Rondonia,April,3.0
5085,2003,Rondonia,April,10.0
5086,2004,Rondonia,April,14.0
5087,2005,Rondonia,April,7.0
5088,2006,Rondonia,April,0.0
5089,2007,Rondonia,April,0.0
5090,2008,Rondonia,April,8.0
5091,2009,Rondonia,April,3.0
5092,2010,Rondonia,April,19.0
5093,2011,Rondonia,April,8.0
5094,2012,Rondonia,April,12.0
5095,2013,Rondonia,April,9.0
5096,2014,Rondonia,April,15.0
5097,2015,Rondonia,April,15.0
5098,2016,Rondonia,April,59.0
5099,2017,Rondonia,April,19.0
5100,1998,Rondonia,May,0.0
5101,1999,Rondonia,May,3.0
5102,2000,Rondonia,May,13.0
5103,2001,Rondonia,May,5.0
5104,2002,Rondonia,May,10.0
5105,2003,Rondonia,May,21.0
5106,2004,Rondonia,May,9.0
5107,2005,Rondonia,May,38.0
5108,2006,Rondonia,May,7.0
5109,2007,Rondonia,May,4.0
5110,2008,Rondonia,May,1.0
5111,2009,Rondonia,May,6.0
5112,2010,Rondonia,May,41.0
5113,2011,Rondonia,May,54.0
5114,2012,Rondonia,May,22.0
5115,2013,Rondonia,May,9.0
5116,2014,Rondonia,May,28.0
5117,2015,Rondonia,May,13.0
5118,2016,Rondonia,May,44.0
5119,2017,Rondonia,May,31.0
5120,1998,Rondonia,June,26.0
5121,1999,Rondonia,June,10.0
5122,2000,Rondonia,June,54.0
5123,2001,Rondonia,June,31.0
5124,2002,Rondonia,June,141.0
5125,2003,Rondonia,June,74.0
5126,2004,Rondonia,June,151.0
5127,2005,Rondonia,June,153.0
5128,2006,Rondonia,June,40.0
5129,2007,Rondonia,June,71.0
5130,2008,Rondonia,June,11.0
5131,2009,Rondonia,June,13.0
5132,2010,Rondonia,June,44.0
5133,2011,Rondonia,June,130.0
5134,2012,Rondonia,June,32.0
5135,2013,Rondonia,June,22.0
5136,2014,Rondonia,June,92.0
5137,2015,Rondonia,June,119.0
5138,2016,Rondonia,June,170.0
5139,2017,Rondonia,June,192.0
5140,1998,Rondonia,July,365.0
5141,1999,Rondonia,July,135.0
5142,2000,Rondonia,July,117.0
5143,2001,Rondonia,July,74.0
5144,2002,Rondonia,July,539.0
5145,2003,Rondonia,July,516.0
5146,2004,Rondonia,July,1233.0
5147,2005,Rondonia,July,798.0
5148,2006,Rondonia,July,314.0
5149,2007,Rondonia,July,187.0
5150,2008,Rondonia,July,138.0
5151,2009,Rondonia,July,110.0
5152,2010,Rondonia,July,747.0
5153,2011,Rondonia,July,293.0
5154,2012,Rondonia,July,205.0
5155,2013,Rondonia,July,117.0
5156,2014,Rondonia,July,192.0
5157,2015,Rondonia,July,423.0
5158,2016,Rondonia,July,969.0
5159,2017,Rondonia,July,1280.0
5160,1998,Rondonia,August,2254.0
5161,1999,Rondonia,August,1976.0
5162,2000,Rondonia,August,2197.0
5163,2001,Rondonia,August,2132.0
5164,2002,Rondonia,August,3465.0
5165,2003,Rondonia,August,7060.0
5166,2004,Rondonia,August,6893.0
5167,2005,Rondonia,August,6672.0
5168,2006,Rondonia,August,3124.0
5169,2007,Rondonia,August,4786.0
5170,2008,Rondonia,August,1251.0
5171,2009,Rondonia,August,484.0
5172,2010,Rondonia,August,4388.0
5173,2011,Rondonia,August,1161.0
5174,2012,Rondonia,August,2209.0
5175,2013,Rondonia,August,885.0
5176,2014,Rondonia,August,3038.0
5177,2015,Rondonia,August,3762.0
5178,2016,Rondonia,August,3675.0
5179,2017,Rondonia,August,4287.0
5180,1998,Rondonia,September,3753.0
5181,1999,Rondonia,September,3062.0
5182,2000,Rondonia,September,2438.0
5183,2001,Rondonia,September,1927.0
5184,2002,Rondonia,September,7067.0
5185,2003,Rondonia,September,6890.0
5186,2004,Rondonia,September,13050.0
5187,2005,Rondonia,September,13972.0
5188,2006,Rondonia,September,9920.0
5189,2007,Rondonia,September,6832.0
5190,2008,Rondonia,September,3726.0
5191,2009,Rondonia,September,1869.0
5192,2010,Rondonia,September,4893.0
5193,2011,Rondonia,September,1782.0
5194,2012,Rondonia,September,2471.0
5195,2013,Rondonia,September,1776.0
5196,2014,Rondonia,September,2800.0
5197,2015,Rondonia,September,6129.0
5198,2016,Rondonia,September,4208.0
5199,2017,Rondonia,September,5638.0
5200,1998,Rondonia,October,483.0
5201,1999,Rondonia,October,1884.0
5202,2000,Rondonia,October,644.0
5203,2001,Rondonia,October,796.0
5204,2002,Rondonia,October,3554.0
5205,2003,Rondonia,October,4962.0
5206,2004,Rondonia,October,3094.0
5207,2005,Rondonia,October,2559.0
5208,2006,Rondonia,October,1148.0
5209,2007,Rondonia,October,2023.0
5210,2008,Rondonia,October,1482.0
5211,2009,Rondonia,October,1444.0
5212,2010,Rondonia,October,1307.0
5213,2011,Rondonia,October,822.0
5214,2012,Rondonia,October,1229.0
5215,2013,Rondonia,October,555.0
5216,2014,Rondonia,October,1063.0
5217,2015,Rondonia,October,2598.0
5218,2016,Rondonia,October,1844.0
5219,2017,Rondonia,October,2190.0
5220,1998,Rondonia,November,3.0
5221,1999,Rondonia,November,41.0
5222,2000,Rondonia,November,13.0
5223,2001,Rondonia,November,91.0
5224,2002,Rondonia,November,639.0
5225,2003,Rondonia,November,526.0
5226,2004,Rondonia,November,452.0
5227,2005,Rondonia,November,465.0
5228,2006,Rondonia,November,253.0
5229,2007,Rondonia,November,53.0
5230,2008,Rondonia,November,78.0
5231,2009,Rondonia,November,128.0
5232,2010,Rondonia,November,238.0
5233,2011,Rondonia,November,245.0
5234,2012,Rondonia,November,174.0
5235,2013,Rondonia,November,108.0
5236,2014,Rondonia,November,202.0
5237,2015,Rondonia,November,1002.0
5238,2016,Rondonia,November,401.0
5239,2017,Rondonia,November,372.0
5240,1998,Rondonia,December,33.0
5241,1999,Rondonia,December,0.0
5242,2000,Rondonia,December,7.0
5243,2001,Rondonia,December,1.0
5244,2002,Rondonia,December,91.0
5245,2003,Rondonia,December,214.0
5246,2004,Rondonia,December,208.0
5247,2005,Rondonia,December,36.0
5248,2006,Rondonia,December,4.0
5249,2007,Rondonia,December,6.0
5250,2008,Rondonia,December,2.0
5251,2009,Rondonia,December,9.0
5252,2010,Rondonia,December,158.0
5253,2011,Rondonia,December,37.0
5254,2012,Rondonia,December,50.0
5255,2013,Rondonia,December,143.0
5256,2014,Rondonia,December,144.0
5257,2015,Rondonia,December,282.0
5258,2016,Rondonia,December,148.0
5259,1998,Roraima,January,0.0
5260,1999,Roraima,January,15.0
5261,2000,Roraima,January,18.0
5262,2001,Roraima,January,101.0
5263,2002,Roraima,January,302.0
5264,2003,Roraima,January,547.0
5265,2004,Roraima,January,355.0
5266,2005,Roraima,January,106.0
5267,2006,Roraima,January,70.0
5268,2007,Roraima,January,194.0
5269,2008,Roraima,January,245.0
5270,2009,Roraima,January,45.0
5271,2010,Roraima,January,351.0
5272,2011,Roraima,January,225.0
5273,2012,Roraima,January,217.0
5274,2013,Roraima,January,397.0
5275,2014,Roraima,January,355.0
5276,2015,Roraima,January,330.0
5277,2016,Roraima,January,1754.0
5278,2017,Roraima,January,108.0
5279,1998,Roraima,February,0.0
5280,1999,Roraima,February,20.0
5281,2000,Roraima,February,57.0
5282,2001,Roraima,February,646.0
5283,2002,Roraima,February,476.0
5284,2003,Roraima,February,767.0
5285,2004,Roraima,February,259.0
